name,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,was_contacted_before,pdays_clean
João Silva,59,retired,married,professional_course,no,yes,yes,cellular,jun,mon,1460,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,0,
Sofia Pereira,34,blue-collar,married,basic_9y,no,no,no,cellular,may,mon,248,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,
Pedro Costa,32,technician,married,professional_course,no,yes,no,cellular,oct,wed,275,2,999,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0,
João Martins,53,admin,married,high_school,no,yes,yes,cellular,may,mon,186,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,
João Carvalho,24,services,single,basic_9y,no,yes,no,telephone,jul,wed,184,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,
Inês Silva,37,technician,single,professional_course,no,no,no,cellular,apr,mon,147,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,
Maria Santos,29,admin,married,university_degree,no,no,no,cellular,nov,wed,406,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,
Pedro Pereira,31,blue-collar,single,professional_course,no,no,no,telephone,may,thu,99,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,
Carla Carvalho,27,admin,single,high_school,no,no,no,cellular,jul,tue,185,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,
Maria Martins,47,services,married,high_school,no,no,no,telephone,may,tue,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,
