age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,was_contacted_before,pdays_clean,name
39,technician,married,university_degree,no,no,no,cellular,jul,tue,62,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,,Diana Costa
38,student,single,unknown,no,yes,no,cellular,mar,mon,344,1,11,1,success,-1.8,93.369,-34.8,0.639,5008.7,1,11.0,Beatriz Silva
33,services,married,high_school,no,no,no,telephone,nov,tue,158,1,999,0,nonexistent,-0.1,93.2,-42.0,4.343,5195.8,0,,Ana Martins
22,student,single,professional_course,no,no,no,cellular,nov,mon,113,3,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,0,,Pedro Oliveira
33,admin,single,university_degree,no,yes,no,telephone,may,tue,76,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,Joana Silva
53,blue-collar,married,professional_course,no,yes,yes,cellular,nov,mon,212,3,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,,Mariana Pereira
22,admin,single,high_school,no,yes,no,telephone,jul,wed,293,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,,João Santos
48,blue-collar,married,basic_9y,unknown,no,no,cellular,may,mon,236,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,,Miguel Ferreira
58,services,married,basic_4y,no,no,no,telephone,jun,fri,247,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,,Ana Pereira
45,unemployed,married,basic_9y,no,yes,no,cellular,jun,mon,201,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,0,,Ana Martins
44,admin,married,high_school,no,yes,no,cellular,aug,fri,111,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,,Miguel Silva
45,admin,married,basic_9y,no,yes,no,telephone,may,tue,29,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,Joana Santos
39,entrepreneur,married,basic_6y,no,yes,no,cellular,sep,tue,265,2,16,1,success,-3.4,92.379,-29.8,0.819,5017.5,1,16.0,Rui Carvalho
30,self-employed,married,professional_course,no,no,no,cellular,may,tue,34,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,,João Carvalho
59,admin,married,high_school,no,no,no,cellular,may,wed,232,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0,,Joana Ferreira
37,technician,married,professional_course,unknown,no,no,telephone,jul,mon,237,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,,João Pereira
31,services,single,high_school,no,yes,no,telephone,aug,wed,61,1,999,0,nonexistent,-1.7,94.027,-38.3,0.903,4991.6,0,,João Martins
40,admin,married,university_degree,no,yes,yes,cellular,aug,tue,197,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,,Sofia Almeida
44,admin,married,high_school,no,yes,no,telephone,may,fri,223,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,,Miguel Costa
48,services,married,basic_9y,unknown,yes,no,cellular,nov,mon,301,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,,Diogo Santos
58,unemployed,married,basic_9y,unknown,no,no,cellular,apr,fri,834,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,,Joana Almeida
50,technician,married,professional_course,no,no,no,cellular,jul,thu,683,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,,Diogo Costa
35,admin,divorced,high_school,no,yes,no,cellular,apr,thu,285,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,,Pedro Carvalho
31,entrepreneur,single,basic_6y,unknown,yes,yes,telephone,jun,fri,8,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,,Joana Pereira
43,technician,married,professional_course,no,yes,no,telephone,may,wed,255,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,Hugo Santos
41,entrepreneur,single,high_school,no,no,no,cellular,jul,thu,71,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,,Diogo Santos
53,entrepreneur,married,basic_4y,no,yes,no,telephone,oct,tue,251,2,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,0,,Joana Silva
29,services,single,professional_course,no,yes,no,cellular,jul,mon,105,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,,Ricardo Pereira
55,management,married,university_degree,unknown,yes,no,cellular,nov,fri,280,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,,André Martins
42,blue-collar,married,basic_4y,no,no,yes,cellular,apr,thu,579,3,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,,Miguel Oliveira
52,retired,married,basic_4y,unknown,yes,no,cellular,jul,fri,412,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,,Catarina Carvalho
46,blue-collar,married,basic_4y,no,no,no,telephone,jun,fri,473,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,,Catarina Oliveira
29,admin,married,university_degree,no,no,no,cellular,may,wed,128,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,,Bruno Pereira
35,admin,single,university_degree,no,no,no,cellular,may,mon,21,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,,Tiago Pereira
40,management,married,professional_course,no,yes,no,cellular,nov,wed,162,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,,Ana Carvalho
29,admin,single,high_school,no,no,no,cellular,jul,tue,574,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,,Bruno Martins
26,unemployed,single,university_degree,no,yes,no,cellular,apr,thu,618,1,999,0,nonexistent,-1.8,93.749,-34.6,0.64,5008.7,0,,André Oliveira
38,blue-collar,married,basic_6y,no,no,no,telephone,may,mon,177,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,,Catarina Almeida
46,blue-collar,married,basic_9y,no,yes,yes,telephone,may,mon,386,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,,Ricardo Santos
52,technician,married,basic_4y,unknown,no,no,telephone,may,wed,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,Pedro Martins
43,technician,married,professional_course,no,yes,no,telephone,may,wed,747,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,,Miguel Costa
30,technician,single,high_school,no,yes,no,cellular,aug,thu,230,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,,Diana Costa
39,unemployed,married,university_degree,no,yes,no,telephone,jun,thu,72,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,,André Ferreira
43,technician,married,basic_9y,unknown,yes,no,telephone,may,tue,202,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,,João Santos
31,services,single,basic_9y,no,no,no,telephone,may,tue,674,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,,Diogo Carvalho
25,blue-collar,single,high_school,no,no,no,cellular,jul,mon,122,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,,Diana Oliveira
